,source,edge,target
2811,different  phone,get,different differentWi Fi networks
2812,addresswhen,connected_to_different,different  networks
2813,phone,get_different,different  IP
2814,when IP host,have_multiple,multiple  networks
2815,Internet,based_on,TCP IP protocol Figure
2816,packets,captures,Internet destination
2817,packets,reach,Internet the
2818,IP,ensures,datagrams destination datagrams
2819,when  packet,means,packet
2820,when  packet,drop,packet
2821,Internet,uses,two connectionless datagram protocol
2822,header,contains,sufficient  destination
2823,error checking,assumes,either error application
2824,Datagrams,arrive_out,order
2825,Applications,include,such Internet Protocol television
2826,packet,reaches,destination
2827,that,delivered_to,logical communication Figure
2828,processes,use,abstraction  network
2829,socket,manages,outgoing  messages
2830,TCP,provides_reliable,one destination system
2831,application,sends,logical communication link
2832,sliding flow control sender,uses,receiver
2833,receiver,allows,process segments
2834,network,has,finite data
2835,we,witness_undesirable,capacity
2836,routers,start,packets
2837,TCP,uses_several,several congestion Section
2838,data that,control,max min fair flows
2839,acknowledgment,used,network sender
2840,policies,based_on,four  algorithms
2841,algorithms,use_local,round congestion control policies
2842,process networking communication,shows,significant  overhead
2843,process  communication,incurs,significant
2844,raw  speed,reach,fiber optic fiber channels
2845,This,has_important,important computer clouds
2846,access,provided,cloud
2847,thus  we,start,important  concept
2848,which,consists_of,necessary datagram network
2849,where end user systems,has,bandwidth communication channels
2850,architecture,describes,protocol communication
2851,We,use,such network phone
2852,e.g.  layer,means,adjacent  layers
2853,e.g.  layer,communicate_with,adjacent  layers
2854,this,justifies,term protocol Figure
2855,Physically sender data,flows_down,application layer
2856,streams,pushed_through,electrical communication signals
2857,bits,passed,then network layer
2858,where  packet,decides,local area router
2859,Then data link layer,encapsulates,next communication hop
2860,then bit stream,passed_to,physical  Figure
2861,receiving data,flows,upward application layer
2862,protocol,communicates,logically protocol system
2863,transport hostB.On,communicates_with,transport receiver
2864,up application layer,encapsulates,sending network layer
2865,that,information_as,only information peer
2866,data unit,carries,decapsulation
2867,layer,includes,sending data link network
2868,network layer payload,includes,transport layer application layer header
2869,Lawrence who,traced,rather circuit switching
2870,when Ivan Sutherland,encouraged,Research Projects Agency
2871,early Leonard Kleinrock,developed,switching packet networks
2872,Kleinrock,published,first  1964
2873,1968  DARPA,released,packet switches
2874,group,won,Bolt contract
2875,teams,played,architectural Leonard design
2876,idea,introduced_by,first architecture 1972
2877,collaboration,led_to,TCP Vint IP
2878,groups,won,TCP DARPA IP
2879,BBN,installed,first  UCLA
2880,nodes,added_at,UC Santa Utah
2881,personal network computers,allowed,1980s
2882,computers,connected_to,Internet
2883,System,invented_by,USC Paul ISI
2884,DNS,permitted,hierarchical Internet address
2885,Berkeley,rewrote,TCP Unix BSD system
2886,Dennis Jennings,started,research NSFNET communities
2887,users,allow,based users systems
2888,Table,summarizes,7.1  metrics
2889,statistics,collected_from,billion  crawl
2890,which,uses,congestion
2891,which,supports,mechanisms
2892,we,analyze,problem
2893,we,reviewtwo_important,important flow control
2894,TCP,seeks,fair network bandwidth
2895,TCP,uses,sliding flow control protocol
2896,where  MSS,denote,maximum segment size
2897,many  quantity,depends_on,network
2898,when window receiver,specifies,new  data
2899,When  receiver,advertises,window
2900,sender,stops,data
2901,subsequent window size update,used,receiver
2902,sender,sends,small  packet
2903,receiver,responds_by,new window size
2904,flow sender,attempts,available network network
2905,source,uses,congestion
2906,awnd,denotes,receiver window
2907,algorithms,used,1988
2908,sender,probes,spare  loss
2909,sender,means,times  MSS
2910,sender,starts_with,times  MSS
2911,congestion window,acknowledged,effectively  RTT
2912,When congestion window,cwnd,threshold
2913,algorithm,enters,congestion
2914,time,motivated_by,fact
2915,system,enters_in,slow start =
2916,W  pattern,changed,Internet
2917,Measurements,show,average Internet connection
2918,strategies,developed,Internet
2919,two  browsers,open,startup aWeb page
2920,Explorer,opens,180  connections
2921,Clearly  strategies,circumvent,considerable congestion overhead
2922,arguments,presented_in,108
2923,latency,dominated_by,RTTs
2924,data transfer,allows,fewer  RTTs
2925,single TCP connection,requires_multiple,single  page
2926,lived Internet that,ensures,large  data
2927,connection,allows_faster,fast  retransmission
2928,TCP latency,reduced_from,466 init_cwnd =
2929,solutions,based,QoS data streaming
2930,data packet flow,discuss,equal  data
2931,which,takes_into,data packet sizes
2932,high data rate flow,ensures,fair link capacity
2933,Packets,classified_into,first  system
2934,queues,serviced,round robin Figure
2935,first  this,maximizes,minimum data data
2936,then  any,maximizes,minimum data rate
2937,Starvation,avoided,expensive  flows
2938,Next  we,review,based Van 1995
2939,same  CBQ,supports,such video streaming
2940,CBQ,aggregates,different  priorities
2941,that,uses_several,class link allocation
2942,7.8  we,see,two  traffic
2943,leaves,considered,tree
2944,two  root,are,Level
2945,then time interior,aims,allocated leaf bandwidth
2946,then time interior,receives,leaf class
2947,distribution,follows,excess congestion avoidance
2948,recent period class,used_more,class bandwidth second
2949,class,used,exactly  class
2950,class,continue,two  examples
2951,kernel,implements,token  CBQ
2952,class,has,assured
2953,class,has,also  ceil
2954,then  parent,examines,advantage children
2955,parent,borrow_from,children
2956,ofmicroprocessor  technologies,is,parallel cloud computing
2957,ofmicroprocessor  technologies,paved,parallel control the
2958,fascinating  developments,have,new  technology
2959,we,discuss,only cloud computing
2960,Internet,evolving_under,own  success
2961,network,supporting,only  the
2962,transport,morphed_into,real multimedia applications
2963,we,examine,two  networks
2964,two  networks,exchange,freely  customers
2965,two  networks,exchange,freely  traffic
2966,network,pays,another
2967,network,paid,which
2968,networks,classified_as,commonly  Tier
2969,network,reach,other  Internet
2970,that,engages_in,other  networks
2971,typically  traffic,billed_by,upstream  provider
2972,that,reduce,per IXPs service
2973,increased  number,improves,tolerance
2974,one network each,consists_of,participating  ISPs
2975,technologies,reshaping,such content delivery Figure
2976,applications,moving_to,cloud
2977,such customers that,consumes,significant network bandwidth
2978,network infrastructure,keep,bandwidth
2979,infrastructure,falling,behind network Figure
2980,Google,initiated,Google Fiber
2981,section,presents_high,high cloud computing
2982,interconnection networks,evolved_at,overall  system
2983,speed,increased_from,1  1997
2984,InfiniBand,has,switched fabric topology
2985,InfiniBand,supports_several,several signaling rates
2986,consumption,depends_on,throughput
2987,architectural  specification,defines_multiple,operational data rates
2988,double data rates,carry,useful  data
2989,specified reactivation time,allows,several  microseconds
2990,reactivation time,vary,link
2991,systems,implement,InfiniBand QDR
2992,InifiniBand fabric,used,storage servers
2993,InfiniBand,has_high,redundant QoS system
2994,InfiniBand,offers,such speed disks
2995,infrastructure,satisfy_several,several  scalability
2996,other speed server,allow_low,similar  speed
2997,same  requirement,ensures,system management
2998,same  requirement,reduces,the
2999,then IP data,receive,final  destination
