,source,edge,target
887,then  server,requests,disk
888,client,provides,special SYN control bit
889,Then  server,acknowledges,initial sequence number
890,Finally  client,sends,own acknowledgment ACK
891,initial  acknowledgment,is,client
892,acknowledgment,reaches,the
893,server residence RTT,consists_of_several,response
894,RTT,depends_on,network latency
895,transmission time,determined_by,network bandwidth
896,server residence time,depends,server load
897,Often  client,communicate,proxy  Figure
898,servers,provide_multiple,multiple
899,servers,filter,filtering client rules
900,server,redirect,loaded  server
901,proxy,act_as,forward  server
902,Tunneling,means,network protocol
903,HTTP,acts,case
904,halting  that,proved,sequential  process
905,Boolean logic expression,showed,which
906,computing,devicewas,electromechanical byKonrad May
907,Z3,used,program film stock
908,ENIAC,became_operational,John July
909,ENIAC,used,program patch cables
910,Neumann,contributed_fundamental,modern  computers
911,Neumann,drew,stored program computer
912,ENIAC,thought,connecting engineering switches
913,Turing,introduced,called von Neumann architecture
914,Turing,faulted_by,Turing insight
915,Neumann,led,Advanced Mathematical
916,1 Ivy that,used_for_sophisticated,longer South Pacific
917,prophets,writes,von machines
918,history,divided,digital  computing
919,Turing,arrived_between,prophets
920,computers,made_extensive,integrated operating systems
921,91,had_numerous,hierarchical information sharing
922,UNIX,developed_in,Kenneth Thompson
923,most  communication,discusses,program
924,most  communication,carried,UNIX
925,Shell,reads,other  programs
926,firstmicroprocessor,announced_in,4004  1971
927,arithmetic,followed_in,6800 bit 1974
928,microprocessor,announced_in,National Semiconductor
929,used Motorola MC68000,had,24 bit addressing
930,80286,introduced_in,1982
931,era,inaugurated_by,x86 x86 architecture
932,multicore  processors,are_ubiquitous,servers
933,papers,authored_by,distributed Leslie Lamport
934,collection,includes,Sape papers
935,nets,introduced_in,291
936,discussion,found_in,system 292
937,distributed  analysis,leads_to,formal communicating framework
938,Hoare,realized,execution traces
939,recently  Milner,initiated,axiomatic Communicating Systems
940,behavior,modeled_as,equational  operators
941,approach,approach_own,own  limitations
942,true  concurrency,escapes,still  axiomatization
943,text,covers_basic,basic computer system design
944,scalable Fabric which,has,Controller interconnects servers
945,Network,maintains,cache computations
946,subsystem,supports,users Windows Azure
947,interface,built_on,Windows REST
948,platform,includes,five  services
949,library,provided_for,also Visual Studio
950,application,runs_multiple,multiple  role
951,based VM role that,distinguish,2008 R2 image
952,that,run,2008  R2
953,controller,chooses,physical Windows Azure application
954,many configuration VMs,uses,configuration file
955,Blobs,used_as_scalable,scalable  storage
956,Ablob,contains,binary
957,container,consists_of,one  blobs
958,Blobs,have,associated  metadata
959,persistent  instance,allow,persistent  storage
960,Queues,enable,asynchronously Worker role instances
961,platform,provide,based job scheduling
962,new instance types,added,beta  2006
963,features,include_static,static IP addresses
964,EC2,been_in_full,well Microsoft SQL Server
965,sites,provide_additional,additional
966,white  paper,found_at,Web service level www.research.ibm.com/wsla/WSLASpecV1-20030128.pdf
967,use,discussed_in,"ecological  6,158,295,358,364"
968,architectures,proposed,cloud computing
969,references,cover_important,important cloud infrastructure
970,we,give,cloud computing ofmid-2012
971,providers,support,Platform delivery SaaS
972,SaaS delivery Microsoft,focused,public  clouds
973,platforms,used_as,private control cloud
974,level responsibility,continue,ecological cloud computing
975,We,conclude_with,current user systems
976,cloud computing which,offers,private cloud computing environments
977,which,includes,servers
978,IBM,announced,private cloud lines
979,HP,announced,cloud computing club
980,Oracle,announced,early enterprise 2012
981,Cloud,based_on,such software Exadata
982,Oracle,plans,application
983,platform services,based,Java
984,computing that,introduced,last  decade
985,that,changed,face
986,First  platform,installed,powerful gourmet foods
987,infrastructure,discovered,well enterprise masses
988,Amazon,introduced,IaaS delivery model
989,high speed that,offers,resources
990,businesses,reported,international computing paradigm
991,businesses,used,200  AWS
992,number,take,well AWS infrastructure
993,up,spend_more,own  infrastructure
994,own computing Amazon,employs,computing
995,Amazon,reshapes,computing
996,first cloud Amazon,announced,beta Elastic Computing August
997,Figure,shows,late Management 2011
998,instance,created,defined Amazon Machine image
999,image,includes,run time user
