,source,edge,target
4817,converted music file,saved_for_later,later  use
4818,lower quality files,experimented_with,16  Kbps
4819,which,require,320 Kbps data rate
4820,pipelining data that,is_small,processing cloud
4821,limited  justification,makes,future
4822,service,requests,eventually data file
4823,solution,involves_multiple,far  optimal
4824,solution,reduces,audio  streaming
4825,bit rate bit file,performed,LAME library
4826,time,depends_on,original  file
4827,when source MP3 files,tables,320  Kbps
4828,sizes,shown,input files
4829,EC2 t1.micro server,reported,measurements
4830,instances,run,Linux operating system
4831,server,exhibit,wide conversion times
4832,when  we,observed_for,128  Kbps
4833,when  we,convert_from,320
4834,Figure,shows,average conversion Tables
4835,Figure,shows,average conversion Tables
4836,considerably conversion Figure,presents,average conversion time
4837,when  instance,show,considerably EC2 c1.medium conversion
4838,we,took,streaming AWS EC2 service
4839,t1.micro,supports,transaction processing systems
4840,Store,provides,block level storage
4841,instances,support,relatively CPU cycles
4842,thus  measurements,be,EC2 c1.medium platform
4843,measurements,show_consistent,considerably EC2 c1.medium conversion
4844,see,is,distributed management Section
4845,Clouds,emerging_as,wide  applications
4846,large computer clouds,consume,mobile  device
4847,computer clouds,have,the
4848,we,propose,wireless cloud networks
4849,thus  it,seems_reasonable,intensive  cloud
4850,when communication trust,based_on_past,mobile  device
4851,algorithms,require_massive,high  probability
4852,wireless  communication,assumes,cognitive Wi Fi radio
4853,mobile  device,uses,wireless  cloud
4854,communication,based,Wi Fi channel
4855,amount,limited_by,cellular data plan
4856,limitation,exists_for,Wi Fi network
4857,mobile  devices,allow_mobile,cognitive end users
4858,we,used_for,bandwidth  management
4859,thus  nodes,analyzes,same channel occupancy
4860,we,consider_several,primary  tower
4861,we,assume,discussion
4862,Pk,transmits_on,primary  channel
4863,algorithm,based_on_several,malicious  system
4864,others,report,global positioning system
4865,clocks,synchronized,mobile  devices
4866,transmission range,depends_on,mobile  device
4867,minority  behavior,assume,following  assumptions
4868,minority  behavior,captured_by,following  assumptions
4869,uniformly  we,distributed_in,uniformly  area
4870,malicious  nodes,collaborate_in,nodes attack strategies
4871,malicious  nodes,change,successive time slots
4872,attacker,motivated,detection
4873,geometry,captured_by,Figure
4874,We,distinguish_primary,secondary cell cloud
4875,We,use,primary majority voting transmitter
4876,decision,requires,votes
4877,nodes,required,well K channels
4878,then  transmit,nodes_current,current power level
4879,secondary  nodes,connect_to,cellular  network
4880,cloud application,requests,cellular application location
4881,mobile  that,detect,10  meters
4882,mobile time location,reported_to,occupancy report
4883,location,provides,occupancy
4884,that,register,trust computation
4885,thus  nodes,get,free occupancy channels
4886,node,influence_other,busy  channels
4887,secondary registration node,transmits,node MAC address
4888,cloud,responds_with,tuple
4889,secondary  nodes,transmit,previous status report
4890,data,provides,same  time
4891,cloud,computes,primary dk transmitter
4892,where  ring,conceptualize,1 ring number
4893,radius,based_on,primary dk transmitter
4894,dk  i,included_in,nodes dk distance
4895,dk  i,included_in,dk ring
4896,tq report cloud,computes,primary transmitter Pk
4897,Node  i,report,αi k ∈ tq
4898,trust,determined,similar  one
4899,only channels information,contains,previous reporting cycle
4900,information,report,channels strategy
4901,us,allows,moments
4902,us,compute,the
4903,when  we,assess,next occupancy cycle
4904,when information behavior,continue,node j
4905,exponential  that,use,old  observations
4906,that,gives,decreasing  weight
4907,We,choose,malicious k1 node
4908,misbehavior,affect,good  actions
4909,trust,requires,two  quantities
4910,trust,based,full nw observations
4911,cellular  infrastructure,used_in,also  which
4912,that,allow,based  service
4913,that,nodes,cellular  network
4914,We,expect,important node decision
4915,thus node density,increases,four
4916,so nodes we,want,same  area
4917,when nodes we,behaves,when nodes increases
4918,density,allow,four
4919,nodes,contribute,different  subarea
4920,cloud  instances,have,fair  information
4921,also  which,complicate,primary nodes one
4922,Instead  we,allocate_to,channels
4923,instances,share,geographic  node
4924,distance,computed,primary  one
4925,well node density,expect,important  decision
4926,well node density,play,important  role
4927,when node number,report,nodes
4928,algorithm,computed,two  nodes
4929,us,determine,algorithm
4930,density,does,nodes increases
4931,First  we,consider,two  extreme
4932,malicious  nodes,represent,total  nodes
4933,malicious  nodes,report_on,total  nodes
4934,when  number,fixed,nodes
4935,nodes,represent,increasing
4936,malicious  nodes,reported_in,two  groups
4937,malicious  nodes,show,20  nodes
4938,nodes,have,average  0.28
4939,nodes,have,regardless trust nodes
4940,malicious  nodes,represent,60
4941,number,plays,significant
4942,honest  nodes,distinguished,average trust value
4943,honest  nodes,have,average  trust
4944,When  number,increases_to,"2,000"
4945,honest group trust,decreases_to,about  0.68
4946,we,shows,practice
4947,extreme  average,expect,two  groups
4948,strategy,works,malicious  node
4949,results,confirm,behavior
4950,malicious  nodes,see,minority
4951,When  density,approaches,high  value
4952,algorithm,performs,still  figures
4953,Thus  trusts,allows,malicious  nodes
4954,when  number,observe,network
4955,service,have_multiple,economic trust 74
4956,many  decisions,used,nodes
4957,mobile  device,reduces,primary  transmitters
4958,mobile  device,reduces,primary  transmitters
4959,soon channel node,node,later  demand
4960,thus  accuracy,increases,results
4961,historic  data,help,malicious  nodes
4962,higher node density,increases,predictions
4963,reports,based_on,secondary communication primary
4964,scheme,has_several,other  advantages
4965,First  it,used,free channel occupancy channels
4966,situation,avoided_in,centralized  case
4967,malicious  nodes,identified_with,high occupancy report
4968,server,collect_historic,free  channels
4969,specific requests service,attempt,likely  time
4970,strategy,be,malicious  nodes
4971,IDE,written,other plug languages
4972,IDE,called,C Eclipse PHP
4973,that,supports,intensive  distributed
4974,Hadoop,inspired_by,MapReduce
4975,extensive software that,consists_of,Unix like Unix look
4976,that,provide,Unix like
4977,Hadoop plugin,note,Europa Hadoop plugin
4978,when  prompted,installed,sshd
4979,Control Services,start,cygwin service
4980,files,contain,recent authorization keys
4981,you,warned,host
4982,authenticity,established,host
4983,you,see,cygwin prompt
4984,you,have,that
4985,that,window,downloaded Hadoop archive
4986,You,ls,created  directory
4987,You,see,newly  created
4988,You,ls,Figure
4989,You,see,the
4990,cd  cd,conf,explorer
4991,Explorer window,cause,conf  directory
4992,message,appears,Figure
4993,Aclient,knowthe,virtual IP cloud
4994,Service,used,private IP networks
4995,late  Amazon,announced,53 AWS AWS
4996,strict  who,scattered,AWS Identity
4997,several IP addresses,mapped,private IP addresses
4998,Address,used_for,only EC2 cloud
4999,traffic,use,elastic IP instance
5000,instance,translated,private IP address
5001,Traffic,forwarded_to,private IP instance
5002,address,originated,AWS AWS
5003,NAT,used,private IP address
5004,cloud user,allow,public IP account
5005,This,allows_fast,fast system failure
5006,public Web service provider,remap,elastic replacement instance
5007,Amazon,charges,Elastic IP addresses
5008,Services,use,virtual security machines
5009,only  instance,belongs_to,one security group
5010,one  instance,belong_to,single security group
5011,rules,control_inbound,inbound outbound instance
5012,other  rule,blocked,otherwise security instance
5013,where TCP port B,assume,security group
5014,instance Wizard,use,key value Figures
5015,Linux port numbers,assigned_by,only  root
5016,called  services,map,textual port numbers
